a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
advcp 9.0-2
adwaita-icon-theme 41.0-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
android-tools 31.0.3-3
android-udev 20220102-1
aom 3.2.0-1
archlinux-keyring 20211028-1
argon2 20190702-4
aribb24 1.0.3-3
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.6-5
auracle-git r366.8739929-3
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.88-2
bash 5.1.016-1
bash-completion 2.11-2
bashtop 0.9.25-1
bat 0.18.3-1
bat-extras-git 2021.08.21.r1.g8ad00bd-2
bc 1.07.1-4
bdf-unifont 14.0.01-1
beets 1.6.0-2
bfg 1.14.0-1
bind 9.16.23-3
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
bluefish 2.2.12-3
blueman 2.2.3-2
bluez 5.63-1
bluez-libs 5.63-1
bluez-utils 5.63-1
boost-libs 1.78.0-1
botan 2.18.2-3
box2d 2.4.1-1
bpytop 1.0.68-1
broot 1.9.1-1
brotli 1.0.9-7
btrfs-progs 5.15.1-3
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairo-perl 1.109-1
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.0-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
celt 0.11.3-4
chromaprint 1.5.1-1
chromium 97.0.4692.71-2
cht.sh-git r892.46d1a5f-1
cifs-utils 6.14-1
clamav 0.104.1-1
clucene 2.3.3.4-11
cmake 3.22.1-5
cmark-gfm 0.29.0.gfm.0-2
cmatrix 2.0-2
cmus 2.9.1-1
cmus-notify 1.4.1-2
colord 1.4.5-4
colorpicker 1.0.f5d441a-2
conky 1.12.2-1
copyq 6.0.1-1
coreutils 9.0-2
cpanminus 1.7044-5
cracklib 2.9.7-2
cryptsetup 2.4.2-3
cups 1:2.4.0-4
cups-filters 1.28.10-2
curl 7.81.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dhcpcd 9.4.1-1
diffutils 3.8-1
diskonaut 0.11.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-1
dotnet-host 6.0.0.sdk100-2
dotnet-runtime 6.0.0.sdk100-2
double-conversion 3.2.0-1
dragon-drag-and-drop 1.1.1-1
dropbox 139.4.4896-1
dunst 1.7.3-1
dust 0.7.5-1
dvd+rw-tools 7.1-9
e2fsprogs 1.46.5-1
ecasound 2.9.3-7
ed 1.17-1
elfutils 0.186-2
ell 0.47-1
enchant 2.3.2-1
espeak-ng 1.50-4
espeak-ng-espeak 1.50-4
exa 0.10.1-4
exiv2 0.27.5-1
expac 10-5
expat 2.4.2-1
faad2 2.10.0-1
fakechroot 2.20.1-2
fakeroot 1.26-1
falkon 3.1.0-16
fbset 2.1-7
fcron 3.2.1-5
fd 8.3.1-1
ffmpeg 2:4.4.1-1
ffnvcodec-headers 11.1.5.0-1
fftw 3.3.10-1
figlet 2.2.5-4
figlet-fonts 1.0-3
file 5.41-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 95.0.2-1
firewalld 1.0.2-2
flac 1.3.3-3
flake8 1:4.0.1-3
flex 2.6.4-3
fontconfig 2:2.13.94-2
fontpreview-git 1.0.6.r5.g467befa-1
foomatic-db-engine 4:20200206-1
fortune-mod 3.12.0-1
freeglut 3.2.1-2
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.29.0-1
fzy 1.0-2
galculator 2.1.4-6
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-3
gcc-libs 11.1.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.34-1
gendesk 1.0.9-1
geoclue 2.5.7-4
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20211221-1
gettext 0.21-1
ghc-libs 9.0.1-5
ghostscript 9.55.0-3
giflib 5.2.1-2
gifski 1.6.1-1
gimp 2.10.30-1
girara 0.3.6-1
git 2.34.1-1
glances 3.2.4-2
glew 2.2.0-2
glfw-x11 3.3.6-1
glib-networking 1:2.70.1-1
glib-perl 1.329.3-2
glib2 2.70.2-2
glib2-docs 2.70.2-2
glibc 2.33-5
glibmm 2.66.2-1
glslang 11.7.1-3
glu 9.0.2-2
gmime3 3.2.7-1
gmp 6.2.1-1
gmrun 1.2w-1
gnome-disk-utility 41.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.2-2
go 2:1.17.6-1
gobject-introspection-runtime 1.70.0-4
google-chrome 97.0.4692.71-1
gpgme 1.16.0-3
gphoto2 2.5.28-1
gpm 1.20.7.r38.ge82d1a6-4
gprename 20210415-1
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphicsmagick 1.3.37-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-3
gsasl 1.10.0-1
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsimplecal 2.2-1
gsl 2.7.1-1
gsm 1.0.19-1
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gst-plugins-ugly 1.18.5-2
gstreamer 1.18.5-1
gtest 1.11.0-3
gtk-doc 1.33.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.6.0-1
gtk2 2.24.33-2
gtk2-perl 1.24993-3
gtk3 1:3.24.31-1
