a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
advcpmv 9.0-5
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.52-2
alsa-lib 1.2.7-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7-1
alsa-utils 1.2.7-1
amd-ucode 20220509.b19cbdc-1
android-tools 31.0.3-6
android-udev 20220102-1
aom 3.3.0-1
apr 1.7.0-3
apr-util 1.6.1-9
arch-install-scripts 24-2
archlinux-keyring 20220424-1
argon2 20190702-4
asunder 2.9.7-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
auracle-git r366.8739929-4
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bashtop 0.9.25-1
bat 0.21.0-1
bat-extras-git 2021.08.21.r1.g8ad00bd-2
bc 1.07.1-4
bind 9.18.3-1
binutils 2.38-5
blas 3.10.1-1
bluefish 2.2.12-3
blueman 2.2.5-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost-libs 1.79.0-1
botan 2.19.2-1
box2d 2.4.1-1
bpytop 1.0.68-1
breezy 3.2.2-2
broot 1.13.1-1
brotli 1.0.9-8
btop 1.2.7-1
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairo-perl 1.109-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-5
celt 0.11.3-4
chromaprint 1.5.1-3
chromium 102.0.5005.115-1
cht.sh-git r892.46d1a5f-1
cifs-utils 6.15-1
clamav 0.105.0-1
clucene 2.3.3.4-12
cmake 3.23.2-1
cmatrix 2.0-2
cmus 2.9.1-2
cmus-notify 1.4.1-2
colord 1.4.6-1
colorpicker 1.0.f5d441a-2
conky 1.12.2-2
copyq 6.1.0-1
coreutils 9.1-1
cpupower 5.18-1
cracklib 2.9.7-2
cryptsetup 2.4.3-2
ctags 1:5.9.20210905.0-1
